Date,Last Price,Change,%Change,Open,Low,High,Volume,Net Foreign,Weekend.Holiday
4/21/2009,2049.4,-37.32,-0.0179,2062.04,2036.37,2063.23,794.78K,-102.35M,0
4/22/2009,2073.31,23.91,0.0117,2056.94,2055.03,2075.44,845.5K,-297.46M,0
4/23/2009,2068.3,-5.01,-0.0024,2070.31,2058.19,2074.61,726.88K,-71.07M,0
4/24/2009,2103.63,35.33,0.0171,2077.65,2077.65,2105.56,1.19M,-303.61M,0
4/25/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
4/26/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
4/27/2009,2085.63,-18,-0.0086,2117.84,2083.94,2121.9,866.26K,-106.27M,0
4/28/2009,2063.5,-22.13,-0.0106,2077.55,2057.78,2080.25,770.22K,-17.81M,0
4/29/2009,2061.05,-2.45,-0.0012,2059.52,2057.67,2070.74,818.39K,-363.22M,0
4/30/2009,2103.5,42.45,0.0206,2086.15,2086.15,2106.85,13.72M,26.21B,0
5/1/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
5/2/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
5/3/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
5/4/2009,2137.62,34.12,0.0162,2127.98,2127.98,2151.18,1.06M,194.49M,0
5/5/2009,2197.2,59.58,0.0279,2174.44,2174.44,2211.25,1.52M,312.21M,0
5/6/2009,2206.23,9.03,0.0041,2203.2,2201.4,2216.92,1.58M,-609.58M,0
5/7/2009,2238.92,32.69,0.0148,2208.66,2208.66,2251.5,1.73M,289.57M,0
5/8/2009,2241.98,3.06,0.0014,2229.44,2202.6,2242.71,1.46M,-372.92M,0
5/9/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
5/10/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
5/11/2009,2265.55,23.57,0.0105,2264.53,2258.27,2281.24,1.48M,90.57M,0
5/12/2009,2253.91,-11.64,-0.0051,2259.28,2247.37,2264.4,1.57M,74.72M,0
5/13/2009,2283.6,29.69,0.0132,2262.12,2262.12,2291.97,1.56M,-323.17M,0
5/14/2009,2264.23,-19.37,-0.0085,2258.25,2243.51,2264.6,995.59K,-105.69M,0
5/15/2009,2308.7,44.47,0.0196,2279.68,2279.68,2314.72,1.83M,-980.75M,0
5/16/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
5/17/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
5/18/2009,2279.37,-29.33,-0.0127,2305.44,2272,2306.63,975.57K,-436.32M,0
5/19/2009,2309.58,30.21,0.0133,2309.61,2304.58,2329.58,1.03M,-148.37M,0
5/20/2009,2333.76,24.18,0.0105,2314.88,2314.88,2338.82,1.55M,24.64M,0
5/21/2009,2333.79,0.03,0,2330.17,2322.45,2352.38,1.14M,-279.68M,0
5/22/2009,2316.89,-16.9,-0.0072,2320.72,2305.4,2325.53,35.34M,-14.35M,0
5/23/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
5/24/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
5/25/2009,2334.62,17.73,0.0077,2321.55,2318.82,2342.77,782.92K,-41.84M,0
5/26/2009,2309.68,-24.94,-0.0107,2347.23,2299.21,2348.01,963.14K,142.94M,0
5/27/2009,2356.38,46.7,0.0202,2334.86,2334.86,2360.45,954.61K,-39.89M,0
5/28/2009,2354.37,-2.01,-0.0009,2341.75,2340.46,2360.06,922.14K,304.37M,0
5/29/2009,2389.31,34.94,0.0148,2363.09,2363.09,2398.25,1.65M,175.58M,0
5/30/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
5/31/2009,NA,NA,NA,NA,NA,NA,NA,NA,1
6/1/2009,2458.65,355.15,0.1688,2404.62,2404.48,2459.83,1.55M,78.17M,0
6/2/2009,2490.42,31.77,0.0129,2497.5,2480.42,2514.11,1.47M,-79.39M,0
